Created auditor 'ahmad_j' (role=auditor, id=13291647895d4e90ab22bfc0202ab03c)

table_schema	table_name
dbo	UD_Lob_UsefulLinks
dbo	Rprt_Condition
dbo	Rprt_ReportSchedule
dbo	TRX_StaticFormTypeStpLang
dbo	API_CustomEndpointEvents
dbo	UD_Lob_Cities
dbo	UD_Lob_DynamicSections
dbo	UD_Lob_HomeSlider
dbo	TRX_InvokeUrlSchedule
dbo	Rprt_DashboardPanelCacheHistory
dbo	TRX_FormCustomizedQuery
dbo	Rprt_Criteria
dbo	Admin_Log
dbo	Sec_ScreenCustom
dbo	TRX_FormCustomizedQueryField
dbo	UD_Lob_Comments
dbo	UD_Lob_Menu
dbo	Sec_ScreenPermission
dbo	TRX_AttachmentsCloud
dbo	UD_Lob_Images
dbo	Sec_UserOTP
dbo	Rprt_Dashboard
dbo	Admin_Setting
dbo	UD_leg_Related_to_Instructions
dbo	Rprt_DashboardPanelColumnLanguageFields
dbo	UD_leg_Source_Principle
dbo	UD_Lob_Sections
dbo	Sec_UserLoginFail
dbo	Rprt_Expressions
dbo	UD_leg_Countries
dbo	UD_leg_Issuer
dbo	Sec_UserBan
dbo	Rprt_Fields
dbo	translate
dbo	UD_Lob_ContactUs
dbo	Rprt_DashboardFilterField
dbo	country
dbo	UD_Rules
dbo	Rprt_Functions
dbo	Rprt_DashboardPanelCache
dbo	Sec_UserToken
dbo	Rprt_DashboardChartType
dbo	Rprt_DashboardReportFieldMap
dbo	UD_Lob_News
dbo	UD_Lob_PagesIntroduction
dbo	UD_Lob_Countries
dbo	Rprt_Report
dbo	Sec_UserDevice
dbo	UD_leg_Article
dbo	UD_leg_CourtType
dbo	Sec_Users
dbo	Rprt_Table
dbo	UD_Lob_Drafts
dbo	Sec_MenuStructure
dbo	UD_Lob_Request_for_information
dbo	UD_Lob_JobApplications
dbo	UD_leg_DefenseLawOrders
dbo	ASPStateTempSessions
dbo	Rprt_DashboardUser
dbo	TRX_FormTypeFilter
dbo	Sec_Permission
dbo	UD_leg_Related_to_Constitution
dbo	UD_Lob_DraftsClassification
dbo	ASPStateTempApplications
dbo	UD_Lob_AvailableJobVacancies
dbo	Bot_DashbotFlow
dbo	TRX_AttachmentsMimeType
dbo	UD_Lob_Applicant_Category
dbo	Rprt_DashboardFilter
dbo	Bot_DashbotVariable
dbo	Sec_Role
dbo	Rprt_DashboardAlert
dbo	UD_Lob_ImportantLinks
dbo	TRX_StaticFormClass
dbo	Sec_Screen
dbo	UD_leg_Related_to_Laws
dbo	UD_leg_Laws
dbo	UD_leg_Associated_Legislation1
dbo	API_CustomEndpoints
dbo	UD_leg_Explanation
dbo	UD_leg_DefenseLawReports
dbo	UD_Lob_CommentReplies
dbo	TRX_StaticFormGroup
dbo	UD_Lob_LegalOpinions
dbo	Sec_UserLog
dbo	Sec_UserPasswordHistory
dbo	UD_leg_Related_to_Bylows
dbo	UD_leg_Bylow
dbo	UD_Lob_EmailsSetting
dbo	UD_leg_Related_Modification_Articles
dbo	Sec_UserRole
dbo	UD_Lob_Types_ID_Proof
dbo	UD_leg_Instructions
dbo	Rprt_DashboardPanel
dbo	UD_Lob_DeliverInfo
dbo	TRX_StaticFormSource
dbo	UD_leg_Constitution
dbo	TRX_StaticFormValue
dbo	UD_leg_Category
dbo	Rprt_DashboardETL
dbo	UD_leg_Legislative_Amendments
dbo	UD_leg_Status
dbo	TRX_Attachments
dbo	UD_Lob_Settings
dbo	UD_leg_LegislationType
dbo	Rprt_Dashboardi18n
dbo	UD_Lob_PurposeObtainingInfo
dbo	UD_Lob_NewsLetter
dbo	UD_leg_Related_to_Agreement
dbo	Log_LobAPI
dbo	UD_leg_Associated_Legislation
dbo	TRX_FormTypeAction
dbo	Rprt_DashboardPanelFilterMap
dbo	Log_FormUpgrade
dbo	TRX_StaticFormType
dbo	UD_Lob_Consultants
dbo	Rprt_DashboardSchedule
dbo	UD_Lob_UploadAttachment
dbo	UD_Lob_FooterMenu
dbo	Sec_MenuStructureGroup
dbo	UD_Lob_StrategicPlan
dbo	UD_View_FormType
dbo	UD_View_FormGroup
dbo	Rprt_DashboardPanelColumn
dbo	Admin_Company
dbo	UD_View_Roles
dbo	UD_View_Users
dbo	UD_View_PredefineValue
dbo	UD_Lob_StudiesAndResearches
dbo	UD_leg_agreement
dbo	UD_View_UserRoles
dbo	Admin_LangScreens
dbo	UD_Lob_DynamicPages
dbo	UD_Lob_Gallery
dbo	UD_Lob_SliderTypes
dbo	Admin_LangTranslation
dbo	Admin_LangType
